,spread_favorite,over_under_line,favorite_win,favorite_home,fav_elev_change,fav_temp_dif,fav_humidity_diff,fav_wind_diff,fav_rank_diff
5698,-3.0,44.5,True,True,0.0,0.0,0.0,0.0,1.0
5699,-3.0,38.0,True,False,-174.1,8.272727272727266,14.840000000000005,8.06060606060606,3.0
5700,-2.5,38.5,True,True,0.0,0.0,0.0,0.0,-10.0
5701,-11.0,46.0,True,True,0.0,0.0,0.0,0.0,21.0
5702,-3.0,44.5,True,False,-317.6400000000001,-7.33802816901408,11.75,18.366197183098592,5.0
5703,-3.5,41.5,True,True,0.0,0.0,0.0,0.0,5.0
5704,-9.5,41.5,True,True,0.0,0.0,0.0,0.0,27.0
5705,-2.5,45.0,True,False,-92.0,4.470588235294116,-72.33333333333333,-4.0,-6.0
5706,-5.5,42.0,True,True,0.0,0.0,0.0,0.0,7.0
5707,-4.5,44.0,False,True,0.0,0.0,0.0,0.0,6.0
5708,-3.0,48.5,True,True,0.0,0.0,0.0,0.0,4.0
5709,-3.5,37.0,False,False,190.5,-5.0,1.7666666666666655,-0.6052631578947372,14.0
5710,-1.5,38.5,False,True,0.0,0.0,0.0,0.0,5.0
5711,-3.0,35.0,False,True,0.0,0.0,0.0,0.0,-6.0
5712,-6.5,44.0,True,True,0.0,0.0,0.0,0.0,-11.0
5713,-3.0,43.5,False,True,0.0,0.0,0.0,0.0,3.0
5714,-3.0,37.0,True,False,-87.2,12.470588235294116,-2.3333333333333286,2.0,2.0
5715,-3.0,47.0,True,False,143.3,-1.9565217391304373,-3.0655737704918096,0.07246376811594146,12.0
5716,-3.5,37.5,True,True,0.0,0.0,0.0,0.0,-10.0
5717,-3.0,40.0,False,False,-57.9,-13.50666666666666,-5.830769230769235,10.72,4.0
5718,-7.5,42.0,True,True,0.0,0.0,0.0,0.0,9.0
5719,-7.0,46.0,False,True,0.0,0.0,0.0,0.0,-8.0
5720,-3.0,38.0,False,False,-1605.1,12.224999999999996,26.9,4.4,7.0
5721,-1.5,47.0,True,False,-44.19999999999999,-5.0,-21.0,10.0,1.0
5722,-3.0,43.5,True,True,0.0,0.0,0.0,0.0,-2.0
5723,-4.5,38.0,True,True,0.0,0.0,0.0,0.0,16.0
5724,-5.5,40.0,True,True,0.0,0.0,0.0,0.0,-18.0
5725,-4.0,35.5,True,True,0.0,0.0,0.0,0.0,13.0
5726,-2.0,46.0,True,True,0.0,0.0,0.0,0.0,-5.0
5727,-8.0,41.5,True,False,350.8,12.845070422535214,0.23728813559321796,2.9859154929577465,29.0
5728,-9.0,41.0,False,True,0.0,0.0,0.0,0.0,13.0
5729,-3.0,51.0,True,True,0.0,0.0,0.0,0.0,17.0
5730,-6.0,34.5,False,True,0.0,0.0,0.0,0.0,12.0
5731,-6.0,49.0,False,True,0.0,0.0,0.0,0.0,1.0
5732,-10.0,41.5,True,True,0.0,0.0,0.0,0.0,3.0
5733,-3.0,35.5,True,True,0.0,0.0,0.0,0.0,-13.0
5734,-3.0,38.0,True,True,0.0,0.0,0.0,0.0,-5.0
5735,-12.0,45.0,True,True,0.0,0.0,0.0,0.0,-2.0
5736,-7.5,48.0,False,True,0.0,0.0,0.0,0.0,11.0
5737,-6.0,50.0,True,True,0.0,0.0,0.0,0.0,5.0
5738,-4.5,44.0,True,False,181.0,2.414285714285711,-66.19354838709678,-8.428571428571429,20.0
5739,-9.5,46.0,True,True,0.0,0.0,0.0,0.0,21.0
5740,-1.5,35.0,True,False,146.4,-7.0,-5.233333333333333,2.3947368421052633,11.0
5741,-11.0,44.0,True,True,0.0,0.0,0.0,0.0,16.0
5742,-2.5,31.0,False,True,0.0,0.0,0.0,0.0,20.0
5743,-1.5,35.5,False,True,0.0,0.0,0.0,0.0,-17.0
5744,-3.0,35.0,True,False,-1605.4,27.179487179487186,24.19402985074627,-4.217948717948717,10.0
5745,-4.0,44.0,True,False,-186.6,-15.575000000000005,36.0,13.45,10.0
5746,-3.0,41.0,False,False,-37.5,1.2631578947368354,14.0,3.052631578947368,26.0
5747,-4.0,39.5,True,True,0.0,0.0,0.0,0.0,-2.0
5748,-5.5,36.0,True,False,6.700000000000001,22.6875,12.712121212121213,0.5749999999999993,-11.0
5749,-4.0,42.0,True,False,-221.0,10.0,1.0,8.0,13.0
5750,-2.5,36.0,False,False,178.0,-9.944444444444443,-1.0,-0.375,-1.0
5751,-7.0,44.0,False,True,0.0,0.0,0.0,0.0,25.0
5752,-3.5,40.0,False,False,367.2,11.178571428571429,-36.0,5.928571428571429,20.0
5753,-5.5,35.0,True,False,153.6,-6.2911392405063316,2.828125,-1.6582278481012658,20.0
5754,-2.0,42.0,False,False,11.6,7.34615384615384,-69.65853658536585,-8.846153846153848,-8.0
5755,-8.5,40.5,True,False,174.7,-6.455696202531648,-20.130434782608702,-0.6329113924050631,15.0
5756,-3.5,39.0,False,True,0.0,0.0,0.0,0.0,10.0
5757,-6.0,41.5,False,True,0.0,0.0,0.0,0.0,-1.0
5758,-6.5,41.0,False,True,0.0,0.0,0.0,0.0,11.0
5759,-3.5,38.5,False,True,0.0,0.0,0.0,0.0,21.0
5760,-4.0,38.0,True,True,0.0,0.0,0.0,0.0,-4.0
5761,-3.5,50.0,True,False,-252.4,2.4266666666666623,-66.0,-1.4666666666666666,1.0
5762,-8.5,52.0,True,True,0.0,0.0,0.0,0.0,29.0
5763,-11.0,34.0,True,True,0.0,0.0,0.0,0.0,5.0
