,Rank,Team,Rating,v 1-5,v 6-10,v 11-16,Hi,Low,Last,Year
0,1,LA Rams (16-5),38.7,4-2,0-2,4-0,1,19,1,2022
1,2,San Francisco (12-8),35.7,3-1,2-2,1-3,2,26,2,2022
2,3,Kansas City (14-6),33.9,0-2,3-2,4-0,1,19,4,2022
3,4,Cincinnati (13-8),32.8,2-2,1-1,5-0,3,28,3,2022
4,5,Tampa Bay (14-5),30.8,0-2,3-0,1-2,1,15,5,2022
5,6,Green Bay (13-5),30.4,3-2,0-0,3-2,1,16,7,2022
6,7,Buffalo (12-7),30.1,1-2,2-1,1-2,2,16,6,2022
7,8,Tennessee (12-6),29.8,3-1,2-0,4-1,1,26,8,2022
8,9,Dallas (12-6),28.7,0-3,0-0,2-1,2,26,9,2022
9,10,Miami (9-8),27.4,0-1,0-3,1-2,6,31,10,2022
10,11,Seattle (7-10),27.0,2-2,0-2,1-3,4,29,13,2022
11,12,Pittsburgh (9-8-1),26.8,0-4,2-1,1-2,6,26,12,2022
12,13,Las Vegas (10-8),26.6,0-4,2-0,2-0,2,25,11,2022
13,14,Minnesota (8-9),26.4,0-3,1-2,2-0,8,29,14,2022
14,15,New Orleans (9-8),25.5,2-0,1-4,1-0,2,26,15,2022
15,16,Indianapolis (9-8),25.2,1-2,2-2,0-2,4,27,16,2022
16,17,New England (10-8),24.9,0-1,2-5,0-2,1,26,18,2022
17,18,Arizona (11-7),24.6,3-2,2-1,2-2,1,23,19,2022
18,19,Cleveland (8-9),24.6,2-1,0-1,1-3,7,23,17,2022
19,20,LA Chargers (9-8),23.7,2-1,0-1,2-2,2,21,20,2022
20,21,Philadelphia (9-9),23.6,0-4,0-2,1-1,9,29,21,2022
21,22,Baltimore (8-9),22.5,1-3,0-2,2-3,3,23,22,2022
22,23,Washington (7-10),21.0,1-1,0-4,2-1,8,30,24,2022
23,24,Detroit (3-13-1),20.9,0-3,1-1,1-2-1,24,32,25,2022
24,25,Chicago (6-11),20.8,1-3,0-2,2-3,9,30,26,2022
25,26,Denver (7-10),20.7,0-3,1-0,0-3,10,26,23,2022
26,27,Atlanta (7-10),18.7,0-3,1-2,1-1,17,31,27,2022
27,28,Houston (4-13),18.3,0-2,1-3,0-3,24,32,28,2022
28,29,NY Jets (4-13),15.4,1-1,1-4,0-2,25,32,29,2022
29,30,Jacksonville (3-14),14.7,0-3,2-2,1-2,24,32,30,2022
30,31,Carolina (5-12),12.1,0-2,0-3,1-2,2,31,31,2022
31,32,NY Giants (4-13),11.4,0-3,0-3,2-0,15,32,32,2022
32,1,Tampa Bay (15-5),44.0,4-3,1-1,1-0,1,23,2,2021
33,2,Kansas City (16-3),38.1,4-1,3-1,3-1,1,5,1,2021
34,3,Buffalo (15-4),37.6,0-2,6-0,5-1,1,17,3,2021
35,4,Green Bay (14-4),35.9,1-2,1-0,1-1,2,14,4,2021
36,5,New Orleans (13-5),34.6,2-3,1-0,0-1,1,15,5,2021
37,6,Miami (10-6),30.4,0-3,2-1,2-1,4,28,6,2021
38,7,Baltimore (12-6),29.8,0-2,0-0,4-4,1,14,8,2021
39,8,LA Chargers (7-9),29.7,1-4,0-1,1-2,7,30,7,2021
